A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9335068,28222,5556,2105.615,2638.659014,,
9365107,3128,131,2130.082,61.49997981,,
9386130,3286,198,1916.516,103.3124691,,
9341662,2924,116,1919.99,60.41698134,,
9311116,3592,201,1270.951,158.1492914,,
9327422,16039,2949,1296.193,2275.124152,,
9296724,3138,153,1446.622,105.7636342,,
9344187,3666,168,1447.153,116.0900057,,
9278828,2690,61,966.995,63.08202214,,
9320115,2788,101,966.928,104.4545199,,
9309022,15182,2635,1151.072,2289.170443,,
9273416,3137,155,1153.727,134.3472069,,
9248814,3104,77,771.897,99.75424182,,
9323729,2491,28,773.38,36.20471178,,
9310029,3116,141,962.344,146.5172537,,
9342357,12206,2143,898.938,2383.924142,,
9206258,12150,1999,1109.571,1801.597194,,
9304618,9543,1531,1124.039,1362.052384,,
9216385,10508,1763,1071.565,1645.257171,,
9203589,11315,1918,1103.355,1738.334444,,
9061874,11617,1937,1113.597,1739.408422,,
9032934,8831,1349,1090.546,1236.995047,,
8957896,6389,788,751.385,1048.730012,,
8843367,16869,3105,1926.073,1612.088431,,
8812798,2629,20,1095.015,18.26458998,,
8824468,13872,2373,1065.548,2227.02309,,
8806024,6420,860,1016.437,846.0927731,,
8748471,8077,1200,1020.618,1175.758217,,
8786159,6731,915,1030.418,887.9891462,,
8797970,10143,1609,1044.975,1539.749755,,
8828437,9878,1621,1220.801,1327.816737,,
8907444,11587,1873,1615.436,1159.439309,,
9064975,11069,1851,1066.035,1736.340739,,
9126689,8765,1366,1062.164,1286.053754,,
9049144,25596,4935,1045.439,4720.504974,,
9092181,16318,2885,1011.416,2852.436584,,
9152586,10643,1723,1027.808,1676.383138,,
9201747,7831,1170,1016.504,1151.003833,,
9226456,7006,879,758.719,1158.531683,,
9247817,12129,1971,1279.712,1540.190293,,
9301872,7005,916,927.197,987.9238177,,
9322191,7415,1005,924.542,1087.024711,,
9343208,6303,697,975.268,714.6753508,,
9370676,8297,1233,965.291,1277.335021,,
9414996,2511,11,979.294,11.23258184,,
9483620,13699,2300,990.134,2322.917908,,
9522699,3267,184,1088.356,169.0623289,,
9500538,3221,152,1089.219,139.5495304,,
9525601,3411,114,1105.855,103.0876562,,
9518446,2531,41,1044.621,39.24868445,,
9555817,2416,11,1094.771,10.04776341,,
9549870,3290,155,1092.117,141.9261856,,
9534961,6219,800,764.149,1046.916243,,
9401438,13051,2176,1939.501,1121.938066,,
9411476,2511,24,1016.238,23.61651503,,
9411894,2668,60,1023.848,58.6024488,,
9426795,2526,12,1019.623,11.76905582,,
9360065,3239,155,1051.479,147.4114081,,
9385961,2926,133,1043.316,127.4781562,,
9324072,2750,62,1046.767,59.22999101,,
9334766,3171,150,1228.234,122.1265655,,
9389946,3230,138,1611.321,85.64401507,,
9374726,10670,1817,1047.895,1733.952352,,
9390593,9088,1468,1052.164,1395.219757,,
9371066,3249,155,1034.201,149.8741541,,
9354963,2835,71,992.789,71.51569971,,
9359209,2472,20,941.599,21.24046436,,
9281346,3010,130,949.983,136.8445541,,
9342363,2468,13,759.448,17.11769601,,
9287032,2587,31,1293.029,23.97471364,,
9315349,2401,10,989.294,10.10821859,,
9342810,2640,71,991.285,71.62420495,,
9343608,6121,770,971.021,792.9797605,,
9312216,7805,1137,974.184,1167.130645,,
9309256,2772,75,1019.07,73.59651447,,
9311540,2504,8,1021.835,7.829052636,,
9290270,3310,187,1330.437,140.5553213,,
9359130,3796,298,1360.7,219.0049239,,
9257380,9457,1465,1351.011,1084.37311,,
9310210,13100,2374,1347.405,1761.905292,,
9293024,2671,63,867.626,72.61193187,,
9294386,3917,321,2112.274,151.9689207,,
9317104,3309,198,1191.533,166.1724854,,
9263426,3786,286,1188.812,240.5763064,,
9350560,2854,79,1198.413,65.92051321,,
9298430,2512,5,1182.485,4.228383447,,
9306451,2972,119,1204.497,98.79642706,,
9350556,2475,16,1184.543,13.50731886,,
9269126,10730,1763,1489.473,1183.64012,,
9307118,10357,1652,1903.818,867.7300036,,
9211106,3115,92,1152.532,79.82424783,,
9146937,2691,5,1157.93,4.318050314,,
9034127,3375,169,1150.408,146.9044026,,
8976280,3599,243,1163.35,208.8795289,,
8937906,2909,33,1161.071,28.42203448,,
8857478,2889,84,1169.765,71.80929503,,
8841201,2790,71,945.514,75.09143175,,
8894138,3956,313,1628.443,192.2081399,,
8920116,8365,1268,1185.582,1069.516912,,
9031212,11920,2028,1198.126,1692.643345,,
8805256,2561,13,1342.007,9.686983749,,
8846887,2867,71,1336.897,53.10805544,,
8915396,8271,1250,1335.371,936.0694519,,
8955948,10039,1624,1318.226,1231.958708,,
9146859,2592,39,1191.024,32.74493209,,
8978303,2701,76,1179.676,64.42446909,,
9068949,2645,42,868.406,48.36447468,,
