A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9197720,4479,227,2105.615,107.8069828,,
9208177,40922,5044,2130.082,2367.983956,,
9244166,10086,160,1916.516,83.4848235,,
9225353,10649,229,1919.99,119.2714545,,
9182017,10073,143,1270.951,112.5141725,,
9201096,10265,184,1296.193,141.9541689,,
9157426,29940,3330,1446.622,2301.914391,,
9151623,9993,148,1447.153,102.2697669,,
9181567,9862,150,966.995,155.1197266,,
9153409,9696,98,966.928,101.3519104,,
9161193,10008,185,1151.072,160.7197465,,
9166256,24827,2477,1153.727,2146.955042,,
9159740,19212,1608,771.897,2083.179492,,
9187002,9294,87,773.38,112.4932116,,
9144364,9396,74,962.344,76.89557996,,
9140391,9475,84,898.938,93.44359678,,
9157864,17886,1442,1109.571,1299.601377,,
9082811,20737,1910,1124.039,1699.229297,,
9139313,8883,18,1071.565,16.79786107,,
9134083,9700,119,1103.355,107.8528669,,
9106873,9694,132,1113.597,118.5348021,,
9176697,8904,14,1090.546,12.83760612,,
9124079,8818,23,751.385,30.61013994,,
9155172,10123,199,1926.073,103.3190331,,
9131386,9247,86,1095.015,78.53773693,,
9101635,9268,30,1065.548,28.15452706,,
9086993,19294,1639,1016.437,1612.495413,,
9094108,15776,1112,1020.618,1089.535948,,
9110479,9421,114,1030.418,110.6347133,,
9151223,9718,172,1044.975,164.5972392,,
9077259,10089,189,1220.801,154.8163869,,
9100886,9950,195,1615.436,120.710446,,
9115090,9525,79,1066.035,74.10638487,,
9117593,10032,194,1062.164,182.6459944,,
9140487,8836,21,1045.439,20.08725521,,
9039222,9755,129,1011.416,127.5439582,,
9053178,16280,1111,1027.808,1080.941187,,
9071271,13578,737,1016.504,725.0340382,,
9081985,13305,729,758.719,960.8300306,,
9067175,18883,1607,1279.712,1255.751294,,
9056059,9263,68,927.197,73.33932271,,
9068863,8736,16,924.542,17.30586604,,
9043377,9783,180,975.268,184.564653,,
9037416,9712,93,965.291,96.34400404,,
9024848,9420,104,979.294,106.1989556,,
9006995,9790,175,990.134,176.7437539,,
9007613,17094,1341,1088.356,1232.133603,,
9040739,20037,1791,1089.219,1644.297428,,
9052442,13856,775,1105.855,700.8152063,,
9037161,16792,1273,1044.621,1218.623788,,
8997904,17061,1280,1094.771,1169.194288,,
9012089,20180,1757,1092.117,1608.801987,,
8991085,13245,731,764.149,956.6197168,,
9034453,25335,2480,1939.501,1278.679413,,
8987506,23898,2359,1016.238,2321.306623,,
8991425,8818,14,1023.848,13.67390472,,
8961283,19128,1590,1019.623,1559.399896,,
8977840,16556,1237,1051.479,1176.438141,,
8915927,17112,1238,1043.316,1186.601183,,
8965013,13204,725,1046.767,692.6087658,,
8935007,19144,1480,1228.234,1204.982113,,
8969894,22465,2156,1611.321,1338.032583,,
8950405,16074,1139,1047.895,1086.940963,,
8958199,19950,1709,1052.164,1624.271501,,
8879478,9476,15,1034.201,14.50395039,,
8896925,22326,2086,992.789,2101.151403,,
