A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9222121,3942,214,2105.615,101.6330146,,
9229563,3694,179,2130.082,84.03432356,,
9218710,29264,5152,1916.516,2688.211317,,
9179145,3353,93,1919.99,48.43775228,,
9237802,3563,182,1270.951,143.1998559,,
9209326,3857,229,1296.193,176.671221,,
9153822,4300,324,1446.622,223.9700488,,
9198726,21536,3741,1447.153,2585.075662,,
9185981,14991,2335,966.995,2414.697077,,
9141817,3961,243,966.928,251.3113696,,
9152289,3637,183,1151.072,158.9822357,,
9164359,3242,94,1153.727,81.47508033,,
9137473,3404,111,771.897,143.8015694,,
9165659,12980,1963,773.38,2538.208901,,
9136689,3278,130,962.344,135.0868297,,
9108780,2812,27,898.938,30.03544182,,
9087517,2991,68,1109.571,61.28494707,,
9083725,3652,166,1124.039,147.6817086,,
9066024,8539,1149,1071.565,1072.263465,,
9025305,10307,1529,1103.355,1385.773391,,
9090778,3100,96,1113.597,86.20712879,,
8993614,2717,12,1090.546,11.00366239,,
9061970,3185,20,751.385,26.61751299,,
9146460,3568,180,1926.073,93.45440178,,
9139442,3322,122,1095.015,111.4139989,,
9043764,2889,29,1065.548,27.21604282,,
9044417,3882,247,1016.437,243.0057151,,
9094958,3373,153,1020.618,149.9091727,,
9139612,10084,1387,1030.418,1346.055678,,
9172990,13120,2050,1044.975,1961.76942,,
9215344,13430,2150,1220.801,1761.138793,,
9231082,16409,2750,1615.436,1702.326802,,
9272730,3593,185,1066.035,173.5402684,,
9294093,4056,291,1062.164,273.9689916,,
9306914,2775,9,1045.439,8.608823662,,
9297946,3343,142,1011.416,140.3972253,,
9305361,3144,86,1027.808,83.67321523,,
9291165,2818,5,1016.504,4.918819798,,
9272156,2696,11,758.719,14.49812118,,
9262220,3411,151,1279.712,117.9952989,,
9252719,10093,1480,927.197,1596.208788,,
9221041,7670,968,924.542,1047.004895,,
9158415,3388,141,975.268,144.5756448,,
9175028,3182,83,965.291,85.98443371,,
9203948,2922,57,979.294,58.20519681,,
9166364,3301,113,990.134,114.1259668,,
9236505,10800,1523,1088.356,1399.358298,,
9152178,13368,2070,1089.219,1900.444263,,
9179380,2773,3,1105.855,2.712833057,,
9163990,3053,106,1044.621,101.4722086,,
9144023,3215,108,1094.771,98.65076806,,
9150590,3642,204,1092.117,186.7931733,,
9152649,2948,37,764.149,48.41987623,,
9113973,4230,259,1939.501,133.5395032,,
9113700,3087,81,1016.238,79.70573822,,
9093043,2862,39,1023.848,38.09159172,,
9110332,11850,1752,1019.623,1718.282149,,
9108022,9374,1251,1051.479,1189.75272,,
9099882,10367,1508,1043.316,1445.391425,,
9043865,7886,932,1046.767,890.36051,,
9086163,4677,299,1228.234,243.4389538,,
9063648,4316,198,1611.321,122.8805434,,
9024829,3489,138,1047.895,131.6925837,,
9021902,4274,249,1052.164,236.6551222,,
9022535,2805,8,1034.201,7.735440209,,
9041195,3267,122,992.789,122.8861319,,
9006840,3413,150,941.599,159.3034827,,
8998918,3740,201,949.983,211.5827336,,
8949303,6827,792,759.448,1042.862711,,
8991976,12173,1811,1293.029,1400.587303,,
8924822,3223,78,989.294,78.84410499,,
8963523,2742,5,991.285,5.043958095,,
8998089,3420,153,971.021,157.5661083,,
8943447,3179,86,974.184,88.27901095,,
8939590,10092,1449,1019.07,1421.88466,,
8922603,12168,1779,1021.835,1740.98558,,
8920861,14586,2369,1330.437,1780.617947,,
8921840,12907,1999,1360.7,1469.096788,,
8887121,12349,1875,1351.011,1387.849544,,
8906096,17603,2982,1347.405,2213.143042,,
8899080,7054,862,867.626,993.5156392,,
8907381,19043,3219,2112.274,1523.950018,,
8978588,19547,3314,1191.533,2781.290992,,
8952658,2743,4,1188.812,3.364703586,,
8985934,2770,16,1198.413,13.35099002,,
8897120,18580,3192,1182.485,2699.399992,,
9003212,10310,1412,1204.497,1172.273571,,
8989026,7518,941,1184.543,794.3991902,,
9108809,15853,2481,1489.473,1665.689811,,
9092447,15911,2518,1903.818,1322.605417,,
9126566,11918,1782,1152.532,1546.160974,,
9152538,14025,2117,1157.93,1828.262503,,
9151299,15496,2548,1150.408,2214.866378,,
9166179,10902,1632,1163.35,1402.845231,,
9182610,18711,3048,1161.071,2625.162458,,
9158386,34929,6291,1169.765,5378.003274,,
9149467,8000,986,945.514,1042.819038,,
9174310,13908,2229,1628.443,1368.792153,,
9101404,11348,1713,1185.582,1444.859993,,
9035487,7891,970,1198.126,809.597655,,
9101773,3400,130,1342.007,96.86983749,,
9060870,2758,5,1336.897,3.740003905,,
9042827,4219,322,1335.371,241.1314908,,
8993623,3773,183,1318.226,138.8229332,,
8997367,3580,132,1191.024,110.8290009,,
8997781,4071,268,1179.676,227.1810226,,
8969254,7741,941,868.406,1083.59454,,
8981736,16342,2651,2122.937,1248.74172,,
8981140,11136,1589,1194.63,1330.118949,,
8994405,14261,2271,1187.02,1913.194386,,
8982706,2777,27,1199.099,22.51690644,,
8915024,3554,183,1193.192,153.3701198,,
8935985,3514,159,1150.32,138.2224077,,
8935347,2861,19,1164.743,16.31261145,,
8914576,3600,165,1492.614,110.5443202,,
8897088,3418,133,1911.826,69.56700034,,
8929671,3443,111,1163.438,95.40688889,,
8869531,2638,3,1163.792,2.577780222,,
8864249,13527,2085,1158.881,1799.149352,,
8879139,11768,1725,1154.833,1493.722469,,
8854041,3299,94,1195.936,78.59952372,,
8873335,3474,193,1206.045,160.0271963,,
8866138,2772,12,951.93,12.60596893,,
8901967,3159,89,1633.576,54.48170149,,
8868663,3189,88,662.104,132.9096335,,
8907937,3605,171,660.524,258.8853698,,
8900891,2748,9,735.379,12.23858718,,
8920466,3343,118,745.967,158.1839411,,
8913891,7981,1005,733.413,1370.30568,,
8938592,6131,654,738.839,885.1725477,,
8965166,5279,516,441.081,1169.853156,,
8989572,11112,1571,1132.888,1386.721371,,
9040892,3077,87,603.671,144.1182366,,
9073797,2697,13,586.501,22.1653501,,
9124891,3563,142,584.283,243.0329138,,
9149593,3103,79,608.327,129.8643657,,
9159999,3732,126,613.556,205.3602279,,
9131231,3709,195,606.69,321.4162093,,
9139814,3669,217,697.724,311.0112308,,
9130452,3527,160,1056.677,151.4180776,,
9121905,6845,820,604.961,1355.459278,,
9095456,8729,1222,608.179,2009.276874,,
9054759,2649,8,605.298,13.21663049,,
9029626,2916,63,578.886,108.8297178,,
9042976,3153,87,592.756,146.7720276,,
9067287,2723,11,606.169,18.14675445,,
9015466,3513,151,748.679,201.6885741,,
9060843,4559,266,758.814,350.5470379,,
9035331,5469,508,765.738,663.4122898,,
8971967,8094,1085,704.069,1541.042142,,
9006764,7689,951,626.596,1517.724339,,
9012380,9348,1264,618.686,2043.039603,,
8981617,2824,29,449.002,64.58768558,,
8978385,4437,307,1167.066,263.0528179,,
8943687,3160,76,623.846,121.8249376,,
8977242,2765,7,639.777,10.94131236,,
8974325,3542,140,607.122,230.596157,,
8929944,2931,36,630.705,57.07898304,,
8897098,2903,43,608.478,70.66812605,,
8916074,2783,11,608.268,18.08413397,,
8873999,8657,1138,707.78,1607.844245,,
8884692,10064,1431,1077.229,1328.408351,,
8898949,3043,79,602.146,131.1974172,,
