A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9295368,4840,422,2105.615,200.4165054,,
9267501,3405,133,2130.082,62.4389108,,
9300551,33158,6046,1916.516,3154.682768,,
9266738,3394,130,1919.99,67.70868598,,
9275463,4059,286,1270.951,225.0283449,,
9256459,2901,49,1296.193,37.80301236,,
9234032,3164,94,1446.622,64.97896479,,
9216913,24110,4207,1447.153,2907.087226,,
9231321,18017,2941,966.995,3041.380772,,
9177923,3215,110,966.928,113.7623484,,
9210194,2782,16,1151.072,13.90008618,,
9183991,3519,146,1153.727,126.5464014,,
9158500,3664,171,771.897,221.5321474,,
9161293,13267,2112,773.38,2730.869689,,
9150374,2791,42,962.344,43.64343727,,
9134650,3075,87,898.938,96.78086809,,
9022083,3910,247,1109.571,222.6085577,,
9020102,3449,168,1124.039,149.4610062,,
8987214,15130,2477,1071.565,2311.572326,,
8975259,13097,2145,1103.355,1944.070585,,
8904072,3868,245,1113.597,220.0077766,,
8895471,3557,164,1090.546,150.3833859,,
8931252,2805,15,751.385,19.96313474,,
8887227,3819,223,1926.073,115.77962,,
8988028,2768,24,1095.015,21.91750798,,
9050503,3066,78,1065.548,73.20177036,,
8883337,2667,10,1016.437,9.838288059,,
8960184,3102,102,1020.618,99.93944845,,
9068016,8754,1161,1030.418,1126.727212,,
9139397,10342,1509,1044.975,1444.053685,,
9180718,12094,1839,1220.801,1506.388019,,
9168627,16746,2812,1615.436,1740.706534,,
9204428,3344,142,1066.035,133.2038817,,
9251057,3028,71,1062.164,66.84466806,,
9279347,3141,121,1045.439,115.7408515,,
9328358,3110,74,1011.416,73.1647512,,
9328334,3244,135,1027.808,131.347489,,
9360295,2948,72,1016.504,70.83100509,,
9337913,3329,29,758.719,38.22231946,,
9341491,3841,132,1279.712,103.1482083,,
9301555,8558,1137,927.197,1226.276617,,
9351189,9746,1350,924.542,1460.182447,,
9320320,2705,11,975.268,11.27895102,,
9317617,3277,33,965.291,34.18658208,,
9288419,2924,14,979.294,14.29601325,,
9316896,3199,105,990.134,106.0462523,,
9282346,14359,2290,1088.356,2104.090941,,
9255406,11958,1808,1089.219,1659.904941,,
9249500,3540,148,1105.855,133.8330975,,
9219120,2923,74,1044.621,70.83908901,,
9240416,2895,25,1094.771,22.83582594,,
9206871,3238,109,1092.117,99.8061563,,
9217723,2894,19,764.149,24.86426077,,
9198121,3193,126,1939.501,64.96516372,,
9171321,2823,31,1016.238,30.50466525,,
9183234,3121,98,1023.848,95.71733304,,
9156302,9271,1351,1019.623,1324.999534,,
9149852,11347,1745,1051.479,1659.567143,,
9194127,13928,2237,1043.316,2144.125078,,
9140098,11306,1651,1046.767,1577.237341,,
9136015,3200,110,1228.234,89.55948134,,
9102754,3275,78,1611.321,48.40748678,,
9114997,3045,61,1047.895,58.21193917,,
9103250,2822,45,1052.164,42.76899799,,
9135886,3606,177,1034.201,171.1466146,,
9098753,2918,52,992.789,52.37769556,,
9119365,2883,32,941.599,33.98474297,,
9097189,3409,141,949.983,148.4237086,,
9118081,7578,984,759.448,1295.677913,,
9122831,12494,1862,1293.029,1440.029574,,
9056402,2619,4,989.294,4.043287435,,
9079507,2859,46,991.285,46.40441447,,
9068707,2876,27,971.021,27.80578381,,
9044324,3218,140,974.184,143.7100178,,
9045218,13309,2095,1019.07,2055.795971,,
9007168,10187,1525,1021.835,1492.413159,,
8934093,9955,1385,1330.437,1041.011337,,
8914523,14908,2419,1360.7,1777.761446,,
8937932,10777,1590,1351.011,1176.896413,,
8836087,14514,2314,1347.405,1717.375251,,
8941212,9241,1282,867.626,1477.595185,,
8977134,21188,3633,2112.274,1719.947317,,
