A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9370202,3359,195,2105.615,92.60952263,,
9372302,39985,8070,2130.082,3788.586543,,
9374060,3143,138,1916.516,72.00566027,,
9374253,3661,259,1919.99,134.8965359,,
9364182,2846,101,1270.951,79.46805188,,
9338780,3604,194,1296.193,149.6690693,,
9355258,26223,5051,1446.622,3491.582459,,
9336390,3356,197,1447.153,136.1293519,,
9337178,3377,198,966.995,204.7580391,,
9345112,2555,39,966.928,40.33392352,,
9328097,3309,181,1151.072,157.2447249,,
9306814,20505,3896,1153.727,3376.882053,,
9321376,14138,2475,771.897,3206.386344,,
9313455,2435,22,773.38,28.44655926,,
9323332,2575,69,962.344,71.69993266,,
9295834,3144,134,898.938,149.0647853,,
9297108,15746,2893,1109.571,2607.313998,,
9274529,12891,2269,1124.039,2018.613233,,
9298640,3823,205,1071.565,191.3089733,,
9280350,2859,108,1103.355,97.8832742,,
9273702,3641,247,1113.597,221.8037585,,
9286937,2770,91,1090.546,83.44443976,,
9254996,2494,24,751.385,31.94101559,,
9266642,3595,252,1926.073,130.8361625,,
9259755,2421,9,1095.015,8.219065492,,
9253688,3117,152,1065.548,142.6496038,,
9249956,9166,1413,1016.437,1390.150103,,
9231985,11826,2005,1020.618,1964.496021,,
9240654,2446,20,1030.418,19.40959882,,
9236476,3338,138,1044.975,132.0605756,,
9226673,3711,277,1220.801,226.9002073,,
9213970,3161,171,1615.436,105.8537757,,
9214093,3116,165,1066.035,154.7791583,,
9201477,2524,39,1062.164,36.71749372,,
9202672,3434,208,1045.439,198.9594802,,
9215497,2613,49,1011.416,48.44692985,,
9173812,14059,2508,1027.808,2440.144463,,
9188356,11560,1973,1016.504,1940.966292,,
9178599,7468,1069,758.719,1408.953776,,
9172849,13161,2245,1279.712,1754.300968,,
9201806,2672,32,927.197,34.51262245,,
9177780,2732,63,924.542,68.14184753,,
9148128,2527,29,975.268,29.73541632,,
9158449,2579,45,965.291,46.61806647,,
9150373,2408,10,979.294,10.21143804,,
9159717,2974,125,990.134,126.2455385,,
9141944,14842,2622,1088.356,2409.138186,,
9151951,12020,1987,1089.219,1824.242875,,
