A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9345105,3450,193,2105.615,91.65968138,,
9326750,2887,83,2130.082,38.96563606,,
9317106,2868,66,1916.516,34.43748969,,
9302702,24295,4013,1919.99,2090.115053,,
9274386,17866,2864,1270.951,2253.430699,,
9256372,3083,107,1296.193,82.54943515,,
9235407,2681,68,1446.622,47.00605963,,
9265418,3117,116,1447.153,80.15738488,,
9276102,3096,131,966.995,135.4712279,,
9282570,13049,1958,966.928,2024.969801,,
9321841,2963,89,1151.072,77.31922938,,
9317190,2516,39,1153.727,33.80349077,,
9310631,2621,41,771.897,53.115895,,
9295610,2841,87,773.38,112.4932116,,
9258506,12647,1846,962.344,1918.232981,,
9273439,2709,55,898.938,61.18330741,,
9250979,3164,133,1109.571,119.8661465,,
9252125,2722,54,1124.039,48.04103772,,
9237872,2962,104,1071.565,97.05430842,,
9238178,2645,50,1103.355,45.31633065,,
9267859,11378,1681,1113.597,1509.522745,,
9266502,9206,1222,1090.546,1120.53962,,
9284850,6429,784,751.385,1043.406509,,
9226750,13014,1864,1926.073,967.7722495,,
9238110,2368,7,1095.015,6.392606494,,
9168265,2934,99,1065.548,92.9099393,,
9195790,2463,9,1016.437,8.854459253,,
9197070,3204,65,1020.618,63.68690343,,
9217945,2357,4,1030.418,3.881919765,,
9240891,3099,115,1044.975,110.0504797,,
9235733,3530,200,1220.801,163.8268645,,
9251230,3290,172,1615.436,106.4728036,,
9227556,11322,1578,1066.035,1480.251586,,
9193298,9895,1269,1062.164,1194.730757,,
9161448,3368,183,1045.439,175.0460811,,
9162704,3267,89,1011.416,87.99544401,,
9136098,3269,160,1027.808,155.6710981,,
9152153,2859,52,1016.504,51.1557259,,
9152359,2414,5,758.719,6.59005508,,
9211686,3181,100,1279.712,78.14258208,,
9195990,2392,5,927.197,5.392597258,,
9195751,2954,79,924.542,85.44771357,,
9147639,6106,656,975.268,672.6356243,,
9140371,7619,933,965.291,966.5479115,,
9088669,2433,9,979.294,9.190294232,,
9145659,2899,80,990.134,80.79714463,,
9141028,2969,112,1088.356,102.9075045,,
9135559,2808,80,1089.219,73.44712129,,
9132283,10747,1429,1105.855,1292.212813,,
9140633,10192,1330,1044.621,1273.189032,,
9137904,8046,988,1094.771,902.4718411,,
9170741,8681,1086,1092.117,994.3989518,,
9201958,2468,8,764.149,10.46916243,,
9198583,2977,116,1939.501,59.80919835,,
9216269,2425,5,1016.238,4.920107298,,
9227338,2721,40,1023.848,39.0682992,,
9308281,2405,8,1019.623,7.846037212,,
9279537,2940,93,1051.479,88.44684487,,
9237324,3137,133,1043.316,127.4781562,,
9283128,2733,64,1046.767,61.14063588,,
9304273,11141,1611,1228.234,1311.639313,,
9321643,13685,1907,1611.321,1183.500991,,
9268943,3331,156,1047.895,148.8698772,,
9348828,2832,70,1052.164,66.52955243,,
9307497,2889,73,1034.201,70.58589191,,
9375954,2555,22,992.789,22.15979428,,
9382432,2515,16,941.599,16.99237149,,
9377610,2747,61,949.983,64.21167537,,
9412972,2350,8,759.448,10.53396678,,
9391048,3876,183,1293.029,141.5281482,,
9402274,6603,677,989.294,684.3263984,,
9365685,8390,1002,991.285,1010.809202,,
9379636,2456,18,971.021,18.53718921,,
9352157,2767,69,974.184,70.82850878,,
9362615,10581,1408,1019.07,1381.651898,,
9360431,8613,1060,1021.835,1037.349474,,
9340215,8158,931,1330.437,699.7700755,,
9334360,10615,1383,1360.7,1016.388624,,
9337687,2447,7,1351.011,5.181304963,,
9321700,3206,124,1347.405,92.02875156,,
9305965,3007,25,867.626,28.81425868,,
9314764,3415,198,2112.274,93.73783894,,
9315289,2481,18,1191.533,15.10658958,,
9306573,2795,83,1188.812,69.81759942,,
9303050,3196,150,1198.413,125.1655314,,
9292591,2702,67,1182.485,56.66033819,,
9274342,12342,1687,1204.497,1400.584642,,
9270025,10701,1432,1184.543,1208.905038,,
9248152,3436,186,1489.473,124.8763825,,
9225765,3235,163,1903.818,85.61742772,,
9240429,2759,75,1152.532,65.07411508,,
9214482,2514,20,1157.93,17.27220126,,
9189916,2515,17,1150.408,14.77736594,,
9189799,2819,62,1163.35,53.29436541,,
9162500,2455,16,1161.071,13.78038036,,
9160657,3106,122,1169.765,104.2944523,,
9189188,6972,826,945.514,873.5989102,,
9194549,11819,1641,1628.443,1007.711047,,
9204256,2521,16,1185.582,13.49548154,,
9197379,2811,72,1198.126,60.09384656,,
9220811,2467,13,1342.007,9.686983749,,
9157846,17118,2498,1336.897,1868.505951,,
9158304,7166,782,1335.371,585.6050491,,
9117021,10917,1462,1318.226,1109.066275,,
9154498,6141,651,1191.024,546.5884818,,
9117759,9405,1211,1179.676,1026.553054,,
9112978,7406,841,868.406,968.4410287,,
9073561,16304,2363,2122.937,1113.080605,,
9042356,11405,1548,1194.63,1295.798699,,
9061944,7954,963,1187.02,811.2752944,,
9066220,29900,4696,1199.099,3916.273802,,
9064414,17563,2678,1193.192,2244.399895,,
9035772,11556,1581,1150.32,1374.400167,,
9013715,8074,990,1164.743,849.9729125,,
9073408,10192,1216,1492.614,814.6781418,,
9015910,13082,1440,1911.826,753.2066203,,
9032844,13421,880,1163.438,756.378939,,
9080711,16005,1268,1163.792,1089.541774,,
8973811,12313,661,1158.881,570.3778041,,
8984625,15750,1217,1154.833,1053.832026,,
8995876,8495,20,1195.936,16.72330292,,
8999007,20938,2085,1206.045,1728.791214,,
8978057,13937,827,951.93,868.7613585,,
8980241,19188,1741,1633.576,1065.760026,,
8988725,14521,1000,662.104,1510.336745,,
8964564,12318,610,660.524,923.5092139,,
8953307,14874,1051,735.379,1429.195014,,
8960812,13405,740,745.967,992.0009866,,
8949236,14418,929,733.413,1266.680574,,
8924671,12680,670,738.839,906.8281452,,
8911715,10806,414,441.081,938.6031137,,
8914600,17640,1450,1132.888,1279.914696,,
8889528,9245,15,603.671,24.84797183,,
8879211,15960,1239,586.501,2112.528367,,
8889546,11178,392,584.283,670.9077622,,
8831241,13599,780,608.327,1282.20513,,
8864597,12638,621,613.556,1012.132552,,
8863046,13415,725,606.69,1195.008983,,
8810552,12985,649,697.724,930.1672294,,
8830018,14518,980,1056.677,927.4357254,,
8809418,14165,922,604.961,1524.065188,,
8791977,12106,588,608.179,966.8206235,,
8808570,22729,2282,605.298,3770.043846,,
8819797,16879,1229,578.886,2123.043224,,
8738538,13692,611,592.756,1030.778263,,
8776300,12104,494,606.169,814.9542454,,
