A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9333716,22735,4046,2105.615,1921.528864,,
9333210,3512,206,2130.082,96.70989192,,
9328204,4401,355,1916.516,185.2319521,,
9318270,2930,78,1919.99,40.62521159,,
9322152,2983,108,1270.951,84.97573864,,
9317253,15990,2634,1296.193,2032.104787,,
9303233,3147,131,1446.622,90.55579135,,
9322426,2879,75,1447.153,51.8258954,,
9322169,2558,26,966.995,26.88741927,,
9317047,3134,143,966.928,147.8910529,,
9312460,12785,2102,1151.072,1826.123822,,
9325961,2936,89,1153.727,77.14129946,,
9302115,2635,25,771.897,32.38774085,,
9298958,3238,91,773.38,117.6653133,,
9309443,2955,113,962.344,117.4216289,,
9299724,10032,1511,898.938,1680.872318,,
9287596,8013,1117,1109.571,1006.69538,,
9286427,5928,684,1124.039,608.5198111,,
9277806,4934,509,1071.565,475.0061825,,
9275198,8179,1119,1103.355,1014.17948,,
9275304,7546,1092,1113.597,980.60609,,
9266427,8894,1318,1090.546,1208.568919,,
9237482,6048,707,751.385,940.9290843,,
9258099,12743,2045,1926.073,1061.745842,,
9242529,13412,2232,1095.015,2038.328242,,
9222088,24239,4445,1065.548,4171.562426,,
9239402,9690,1493,1016.437,1468.856407,,
9262056,7126,999,1020.618,978.8187157,,
9247767,8266,1170,1030.418,1135.461531,,
9211215,6458,847,1044.975,810.5457068,,
9241494,8030,1127,1220.801,923.1643814,,
9212588,10679,1735,1615.436,1074.013455,,
9202328,7477,1007,1066.035,944.6218933,,
9197050,5132,584,1062.164,549.8209316,,
9178467,2608,7,1045.439,6.695751737,,
9202818,11463,1866,1011.416,1844.938186,,
9185295,7228,955,1027.808,929.1618668,,
9180395,8676,1252,1016.504,1231.672477,,
9179723,6022,748,758.719,985.8722399,,
9192139,7680,1052,1279.712,822.0599635,,
9194102,6319,798,927.197,860.6585224,,
9197436,9998,1574,924.542,1702.464572,,
9187170,8786,1313,975.268,1346.296608,,
9177123,7058,951,965.291,985.195138,,
9172084,11491,1852,979.294,1891.158324,,
9154156,2506,4,990.134,4.039857231,,
9134380,3287,179,1088.356,164.4682438,,
9142889,2632,18,1089.219,16.52560229,,
9165737,2577,21,1105.855,18.9898314,,
9150311,2813,49,1044.621,46.90696434,,
9144810,3044,84,1094.771,76.72837516,,
9154655,2604,21,1092.117,19.22870901,,
9124670,5697,636,764.149,832.298413,,
9134142,11814,1968,1939.501,1014.693986,,
9117835,3057,127,1016.238,124.9707254,,
9119975,3432,189,1023.848,184.5977137,,
9113689,3504,106,1019.623,103.9599931,,
9120429,3211,133,1051.479,126.4884986,,
9105709,2690,42,1043.316,40.25625985,,
9114839,2883,99,1046.767,94.57692113,,
9130216,3727,253,1228.234,205.9868071,,
9084695,3580,217,1611.321,134.6721106,,
9098345,8180,1112,1047.895,1061.175022,,
9080409,5445,589,1052.164,559.7986626,,
9066186,2545,15,1034.201,14.50395039,,
9075079,2803,74,992.789,74.53748984,,
9090944,3032,102,941.599,108.3263682,,
9059765,2648,40,949.983,42.10601663,,
9069775,2655,39,759.448,51.35308803,,
9085298,3185,123,1293.029,95.12547669,,
9073411,2981,114,989.294,115.2336919,,
9046214,3414,216,991.285,217.8989897,,
9062923,8992,1335,971.021,1374.841533,,
9060052,7285,971,974.184,996.7316236,,
9058697,3232,133,1019.07,130.5111523,,
9093577,2798,52,1021.835,50.88884213,,
9109654,3541,229,1330.437,172.1238961,,
9105161,2982,80,1360.7,58.79326817,,
9139177,8126,1200,1351.011,888.223708,,
9144397,6421,758,1347.405,562.5628523,,
9125372,2656,25,867.626,28.81425868,,
9151130,4169,321,2112.274,151.9689207,,
9167941,2961,81,1191.533,67.9796531,,
9194143,3564,215,1188.812,180.8528178,,
9187363,2617,34,1198.413,28.37085379,,
9226009,3266,90,1182.485,76.11090204,,
9224773,3187,140,1204.497,116.2310907,,
9196809,3704,248,1184.543,209.3634423,,
9204479,11310,1701,1489.473,1142.014659,,
9274209,11698,1886,1903.818,990.6409121,,
9276693,2917,93,1152.532,80.6919027,,
9291880,2540,11,1157.93,9.499710691,,
9287027,3208,149,1150.408,129.5192662,,
9301001,3013,113,1163.35,97.13327889,,
9303594,3398,192,1161.071,165.3645643,,
9304613,2457,17,1169.765,14.53283352,,
9311112,2454,14,945.514,14.80676119,,
9299178,3525,217,1628.443,133.2561226,,
9297588,8608,1215,1185.582,1024.81313,,
9298889,10925,1784,1198.126,1488.991976,,
9294526,2960,82,1342.007,61.10251288,,
9295223,3066,133,1336.897,99.48410386,,
9283604,11496,1803,1335.371,1350.186577,,
9302011,9290,1493,1318.226,1132.582729,,
9254954,2653,36,1191.024,30.22609116,,
9281427,2473,20,1179.676,16.95380766,,
9253381,2614,8,868.406,9.212280892,,
9283063,2916,85,2122.937,40.03887068,,
9286767,2733,51,1194.63,42.69104241,,
9263446,2554,2,1187.02,1.684891577,,
9266434,2604,33,1199.099,27.52066343,,
9267805,2971,114,1193.192,95.54204185,,
9276835,8662,1281,1150.32,1113.603171,,
9263830,9640,1548,1164.743,1329.048554,,
9250588,3055,118,1492.614,79.05593811,,
9263229,2814,74,1911.826,38.70645132,,
9247182,2606,23,1163.438,19.768995,,
9255481,2822,93,1163.792,79.91118688,,
9240091,3395,188,1158.881,162.2254571,,
9247012,3143,154,1154.833,133.3526146,,
9229048,2751,62,1195.936,51.84223905,,
9235408,2488,18,1206.045,14.92481624,,
9233322,6436,802,951.93,842.4989232,,
9220915,9853,1484,1633.576,908.4364609,,
9212665,6000,734,662.104,1108.587171,,
9237805,4757,481,660.524,728.2097244,,
9202185,2566,5,735.379,6.799215099,,
9191033,3000,78,745.967,104.5622662,,
9189521,2762,5,733.413,6.817441196,,
9218693,2786,57,738.839,77.14806609,,
9186199,2531,24,441.081,54.41177471,,
9183483,2696,16,1132.888,14.12319664,,
9204857,2718,57,603.671,94.42229294,,
9176649,3509,100,586.501,170.5026931,,
9165032,6970,806,584.283,1379.468511,,
9156427,5924,691,608.327,1135.902237,,
9162819,2663,45,613.556,73.34293854,,
9169162,2553,6,606.69,9.889729516,,
9165295,2761,46,697.724,65.928648,,
9136663,3014,97,1056.677,91.79720955,,
9161210,3536,120,604.961,198.3598943,,
9179081,2610,42,608.179,69.05861597,,
9140756,2489,12,605.298,19.82494573,,
9140972,2604,34,578.886,58.73349848,,
9127440,4923,452,592.756,762.5397297,,
9151728,5737,667,606.169,1100.353202,,
9120878,6023,730,748.679,975.0507227,,
9101229,4905,499,758.814,657.6051575,,
9099339,5869,711,765.738,928.5160198,,
9138764,5433,602,704.069,855.0298337,,
9128394,6009,702,626.596,1120.339102,,
9141710,5169,553,618.686,893.8298264,,
9125011,4134,317,449.002,706.0102182,,
9095317,9192,1336,1167.066,1144.751025,,
9103838,8329,1210,623.846,1939.581243,,
9118316,14655,2492,639.777,3895.107201,,
9085118,6629,852,607.122,1403.342327,,
9082722,5507,608,630.705,964.0006025,,
9086156,4925,499,608.478,820.0789511,,
9099008,6052,729,608.268,1198.484878,,
9090462,7563,1006,707.78,1421.345616,,
9071175,9773,1576,1077.229,1463.012971,,
9093023,5279,550,602.146,913.3997403,,
9089051,4324,385,618.33,622.644866,,
9078493,2390,7,615.475,11.37332954,,
9067976,7717,1045,582.286,1794.650739,,
