A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9222322,4228,327,2105.615,155.2990456,,
9176860,3020,95,2130.082,44.599222,,
9107639,26306,4060,1916.516,2118.427396,,
9156978,3149,135,1919.99,70.31286621,,
9166973,3185,128,1270.951,100.7119865,,
9147394,2587,20,1296.193,15.42980096,,
9102614,2889,67,1446.622,46.31479405,,
9063938,21932,3275,1447.153,2263.064099,,
9082453,14180,1945,966.995,2011.385788,,
9067586,2735,53,966.928,54.81276786,,
9137921,2433,7,1151.072,6.081287704,,
9064411,3783,144,1153.727,124.812889,,
9075706,2819,56,771.897,72.54853951,,
9149451,11426,1538,773.38,1988.673097,,
9020144,2648,34,962.344,35.3304016,,
9155385,2753,73,898.938,81.20693529,,
9112308,2648,28,1109.571,25.2349782,,
9007340,2837,69,1124.039,61.38577042,,
9078775,12679,1746,1071.565,1629.392524,,
9068006,10528,1388,1103.355,1257.981339,,
9119234,2476,9,1113.597,8.081918324,,
8969308,3023,95,1090.546,87.11232722,,
8969440,2442,11,751.385,14.63963215,,
9052939,3613,194,1926.073,100.7230775,,
8973169,3049,106,1095.015,96.80232691,,
9004247,2644,33,1065.548,30.96997977,,
8956612,2562,25,1016.437,24.59572015,,
9038194,2879,92,1020.618,90.14146331,,
8994341,12487,1706,1030.418,1655.63878,,
9027438,10233,1331,1044.975,1273.714682,,
8962328,11252,1473,1220.801,1206.584857,,
8989262,14441,2030,1615.436,1256.626694,,
8927385,2393,12,1066.035,11.25666606,,
8988715,2821,66,1062.164,62.13729707,,
9056981,2868,62,1045.439,59.30522967,,
8977111,2778,56,1011.416,55.36791983,,
8932946,2924,7,1027.808,6.810610542,,
8910937,3018,93,1016.504,91.49004824,,
8932501,2920,7,758.719,9.226077112,,
8931588,3234,125,1279.712,97.6782276,,
8898238,10585,1366,927.197,1473.257571,,
8937304,9430,1224,924.542,1323.898752,,
8901755,2500,18,975.268,18.4564653,,
8905320,2657,33,965.291,34.18658208,,
8950533,3625,222,979.294,226.6939244,,
8919025,2810,64,990.134,64.6377157,,
8906746,7246,802,1088.356,736.8912378,,
8899068,8734,1049,1089.219,963.0753779,,
8891365,3094,112,1105.855,101.2791008,,
8947744,2783,54,1044.621,51.69338928,,
