A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9347085,9461,215,2105.615,102.1079352,,
9330716,9925,225,2130.082,105.6297363,,
9321785,35111,4722,1916.516,2463.845854,,
9299811,9023,127,1919.99,66.14617784,,
9285037,9539,142,1270.951,111.7273601,,
9248077,9843,184,1296.193,141.9541689,,
9287596,9256,243,1446.622,167.9775366,,
9258156,27451,3411,1447.153,2357.041723,,
9292398,20846,2265,966.995,2342.307871,,
9248150,9691,235,966.928,243.0377443,,
9251360,9673,136,1151.072,118.1507325,,
9246511,9191,160,1153.727,138.6809878,,
9212738,8634,89,771.897,115.3003574,,
9212864,18266,1765,773.38,2282.189868,,
9233506,8691,81,962.344,84.16948617,,
9177507,8593,62,898.938,68.97027381,,
9182929,9197,102,1109.571,91.9274206,,
9189449,8506,15,1124.039,13.3447327,,
9198798,13787,966,1071.565,901.4852109,,
9187349,16247,1302,1103.355,1180.03725,,
9101325,8687,72,1113.597,64.65534659,,
9136256,9464,147,1090.546,134.7948642,,
9155523,8372,29,751.385,38.59539384,,
9092628,9452,165,1926.073,85.66653497,,
9091549,9073,179,1095.015,163.4680803,,
9108897,9902,240,1065.548,225.2362165,,
9095883,9312,190,1016.437,186.9274731,,
9113236,8775,96,1020.618,94.06065737,,
9062921,15031,1205,1030.418,1169.428329,,
9056820,14007,945,1044.975,904.3278547,,
9052987,16755,1511,1220.801,1237.711961,,
9025712,19205,1942,1615.436,1202.152236,,
9075599,9227,111,1066.035,104.124161,,
9038075,8877,47,1062.164,44.2492873,,
9074046,8447,32,1045.439,30.6091508,,
9033680,9036,129,1011.416,127.5439582,,
8993288,8535,100,1027.808,97.29443631,,
8973586,9058,134,1016.504,131.8243706,,
9030233,8345,20,758.719,26.36022032,,
8946666,8788,130,1279.712,101.5853567,,
8970655,15674,1239,927.197,1336.285601,,
8978867,16531,1419,924.542,1534.813994,,
9005786,8783,116,975.268,118.9416653,,
8957676,8167,50,965.291,51.79785163,,
8969063,8473,79,979.294,80.67036048,,
9004934,8585,20,990.134,20.19928616,,
9017743,15568,1382,1088.356,1269.805101,,
9022868,12931,854,1089.219,784.0480197,,
9055966,8661,15,1105.855,13.56416528,,
9123688,8968,123,1044.621,117.7460534,,
9179536,8988,84,1094.771,76.72837516,,
9182216,8292,18,1092.117,16.48175058,,
9121016,8787,28,764.149,36.6420685,,
9281956,9761,248,1939.501,127.8679413,,
9196916,8937,113,1016.238,111.1944249,,
9183622,8539,153,1023.848,149.4362444,,
9280280,17637,1758,1019.623,1724.166677,,
9214800,15143,1181,1051.479,1123.179826,,
9317031,15656,1386,1043.316,1328.456575,,
9364273,18510,1818,1046.767,1736.776188,,
9342019,9970,240,1228.234,195.4025047,,
9372102,9456,146,1611.321,90.6088855,,
9392634,8871,87,1047.895,83.02358538,,
9395873,8376,23,1052.164,21.85971008,,
9400942,8465,29,1034.201,28.04097076,,
9401009,9352,161,992.789,162.1694036,,
9405655,8476,77,941.599,81.77578778,,
9397753,8076,23,949.983,24.21095956,,
9372488,12498,753,759.448,991.5096228,,
9341095,18294,1816,1293.029,1404.454192,,
9377887,8518,104,989.294,105.1254733,,
9344474,9116,162,991.285,163.4242423,,
9339774,9869,172,971.021,177.1331413,,
9323734,9071,130,974.184,133.4450165,,
9335077,15423,1298,1019.07,1273.710344,,
9345413,13070,900,1021.835,880.7684215,,
9287563,21343,2271,1330.437,1706.957939,,
9266086,17692,1713,1360.7,1258.910855,,
9259329,18615,1842,1351.011,1363.423392,,
9243911,13697,911,1347.405,676.114457,,
9258039,13246,904,867.626,1041.923594,,
9228665,23298,2639,2112.274,1249.364429,,
9279457,25502,3070,1191.533,2576.512778,,
9239361,42137,5852,1188.812,4922.561347,,
9224357,8452,24,1198.413,20.02648503,,
9214783,24110,2742,1182.485,2318.845482,,
9218254,18583,1753,1204.497,1455.379299,,
9235983,21342,2295,1184.543,1937.456048,,
9223411,20514,2206,1489.473,1481.060751,,
9234894,21540,2316,1903.818,1216.502838,,
9244577,16416,1399,1152.532,1213.84916,,
9174787,13471,913,1157.93,788.4759873,,
9202143,19527,2034,1150.408,1768.068372,,
9121683,15511,1319,1163.35,1133.794645,,
9181072,24643,2864,1161.071,2466.688084,,
9172699,8204,21,1169.765,17.95232376,,
9196682,13873,977,945.514,1033.300406,,
9087751,20286,2010,1628.443,1234.307863,,
9121789,15388,1288,1185.582,1086.386264,,
9096900,19541,1973,1198.126,1646.738323,,
9085807,9090,88,1342.007,65.57342845,,
9110943,9558,184,1336.897,137.6321437,,
9079863,10516,268,1335.371,200.6932905,,
9065396,9741,194,1318.226,147.1674811,,
9096446,9221,161,1191.024,135.1777966,,
9047202,8407,37,1179.676,31.36454416,,
9034716,13655,932,868.406,1073.230724,,
8996523,22885,2515,2122.937,1184.679527,,
8997010,16860,1496,1194.63,1252.270578,,
9011899,14238,1023,1187.02,861.8220418,,
9021120,8819,45,1199.099,37.52817741,,
9045455,9203,149,1193.192,124.8751249,,
8974946,9026,99,1150.32,86.06300855,,
8997751,9355,214,1164.743,183.7315185,,
