A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9192696,6606,127,2105.615,60.31491987,,
9206295,5917,126,2130.082,59.15265234,,
9206748,5452,74,1916.516,38.61173087,,
9171159,21367,3202,1919.99,1667.717019,,
9191350,15726,2212,1270.951,1740.429017,,
9159851,5279,76,1296.193,58.63324366,,
9176351,5063,56,1446.622,38.71087264,,
9152012,5308,114,1447.153,78.775361,,
9124923,5262,50,966.995,51.70657553,,
9130383,13886,1651,966.928,1707.469429,,
9058032,5533,68,1151.072,59.07536627,,
9082136,5071,53,1153.727,45.93807721,,
9051951,5233,31,771.897,40.16079866,,
9113665,5533,71,773.38,91.80480488,,
9047219,12678,1497,962.344,1555.5768,,
9158453,5610,41,898.938,45.60937462,,
9096868,5183,19,1109.571,17.12373521,,
9097170,5229,62,1124.039,55.1582285,,
9172246,5753,77,1071.565,71.85751681,,
9112855,5275,38,1103.355,34.44041129,,
9168513,8417,634,1113.597,569.3262464,,
9282448,9854,929,1090.546,851.866863,,
9213708,8406,557,751.385,741.2977368,,
9301020,13290,1411,1926.073,732.5786717,,
9306330,6014,116,1095.015,105.9346219,,
9427983,6157,80,1065.548,75.07873883,,
9390276,5662,24,1016.437,23.61189134,,
9388129,5038,26,1020.618,25.47476137,,
9427794,5789,102,1030.418,98.988954,,
9431885,5617,55,1044.975,52.63283811,,
9452432,6241,118,1220.801,96.65785005,,
9433227,5913,90,1615.436,55.71251353,,
9440094,9078,711,1066.035,666.9574639,,
9452439,10983,968,1062.164,911.3470236,,
9460301,6851,140,1045.439,133.9150347,,
9474062,6654,94,1011.416,92.93900828,,
9454213,6909,27,1027.808,26.26949781,,
9467908,6007,69,1016.504,67.87971321,,
9461747,5766,16,758.719,21.08817625,,
9464182,5262,34,1279.712,26.56847791,,
9454118,5914,149,927.197,160.6993983,,
9436545,5767,94,924.542,101.671963,,
9446039,8611,644,975.268,660.3313141,,
9438158,9200,861,965.291,891.9590051,,
9441105,5641,67,979.294,68.41663484,,
9411452,5899,42,990.134,42.41850093,,
9409499,5004,18,1088.356,16.53870609,,
9400593,5058,58,1089.219,53.24916293,,
9406910,11912,1395,1105.855,1261.467371,,
9380502,10508,1055,1044.621,1009.935661,,
9369258,11125,1225,1094.771,1118.955471,,
9385728,10392,1006,1092.117,921.146727,,
9413453,5327,12,764.149,15.70374364,,
9363145,5411,113,1939.501,58.26240873,,
9369442,5537,85,1016.238,83.64182406,,
9382598,5242,62,1023.848,60.55586376,,
9370311,5097,12,1019.623,11.76905582,,
9338562,5139,41,1051.479,38.99269505,,
9363824,4943,11,1043.316,10.54330615,,
9324860,5591,43,1046.767,41.07886473,,
9321497,10680,1123,1228.234,914.3208867,,
9320904,13169,1637,1611.321,1015.936613,,
9302914,5349,21,1047.895,20.04017578,,
9310212,5428,67,1052.164,63.67828589,,
9308171,5572,85,1034.201,82.18905222,,
9289683,5571,32,992.789,32.23242804,,
9271315,5318,48,941.599,50.97711446,,
9289720,5371,32,949.983,33.68481331,,
9270179,4930,15,759.448,19.7511877,,
9273281,5384,72,1293.029,55.68320587,,
9217662,10975,1034,989.294,1045.189802,,
9216685,10080,950,991.285,958.352038,,
9239345,5296,8,971.021,8.238750758,,
9187196,5566,44,974.184,45.1660056,,
9201027,8614,626,1019.07,614.2855741,,
9182939,9731,853,1021.835,834.7727373,,
9199557,9693,870,1330.437,653.9204788,,
9207677,11202,1138,1360.7,836.3342397,,
9171061,6501,120,1351.011,88.8223708,,
9173653,6468,63,1347.405,46.75654313,,
9152893,5606,18,867.626,20.74626625,,
9129207,5979,62,2112.274,29.3522526,,
9145159,6163,88,1191.533,73.85443794,,
9103174,6269,35,1188.812,29.44115638,,
9102596,5835,96,1198.413,80.10594011,,
9123397,5452,44,1182.485,37.20977433,,
9076340,9505,870,1204.497,722.2932062,,
9088139,10653,1087,1184.543,917.6534748,,
9068851,6026,135,1489.473,90.63608404,,
9066330,5847,148,1903.818,77.73852333,,
9079831,5189,9,1152.532,7.808893809,,
9047142,5627,60,1157.93,51.81660377,,
9053328,5460,15,1150.408,13.0388523,,
9002697,5155,30,1163.35,25.78759617,,
8962728,5778,119,1161.071,102.4915789,,
9025363,5366,82,1169.765,70.09954991,,
9052733,8591,672,945.514,710.7245371,,
9032174,11621,1234,1628.443,757.7790564,,
9121431,5447,88,1185.582,74.22514849,,
9071825,5283,45,1198.126,37.5586541,,
9088282,27550,4325,1342.007,3222.784978,,
9111313,17124,2376,1336.897,1777.249855,,
9185408,9356,754,1335.371,564.6370934,,
9120806,11099,1058,1318.226,802.5937889,,
9224706,12866,1429,1191.024,1199.807896,,
9129166,11234,1122,1179.676,951.1086095,,
9278814,9309,703,868.406,809.5291834,,
9305038,14944,1882,2122.937,886.5077014,,
9324096,9235,742,1194.63,621.1128132,,
9317595,10434,1032,1187.02,869.4040538,,
9308169,25810,4125,1199.099,3440.082929,,
9338429,16744,2310,1193.192,1935.98348,,
9347096,8165,594,1150.32,516.3780513,,
9389541,10217,993,1164.743,852.548588,,
9387135,11113,1145,1492.614,767.1105859,,
9405152,12270,1353,1911.826,707.700387,,
9407455,11056,1146,1163.438,985.0116637,,
9404221,11229,1099,1163.792,944.3268213,,
9394472,8010,562,1158.881,484.9505687,,
9417712,11313,1123,1154.833,972.4349754,,
9378034,26105,4232,1195.936,3538.650898,,
9374092,16533,2367,1206.045,1962.613335,,
9372480,8837,758,951.93,796.2770372,,
9350606,12463,1530,1633.576,936.5955425,,
9349137,7081,373,662.104,563.3556058,,
9358963,8434,617,660.524,934.1068606,,
9317689,9618,841,735.379,1143.62798,,
9304822,8866,763,745.967,1022.83345,,
9330438,7335,508,733.413,692.6520255,,
9305794,8529,677,738.839,916.3024691,,
9320934,7044,340,441.081,770.833475,,
9308947,10844,1118,1132.888,986.8583655,,
9316802,16866,2173,603.671,3599.642852,,
9254247,10910,1179,586.501,2010.226752,,
9290854,7034,302,584.283,516.8728168,,
9282370,8848,599,608.327,984.6677856,,
9281000,8295,618,613.556,1007.243023,,
9243708,7871,488,606.69,804.3646673,,
9263629,8052,587,697.724,841.3068778,,
9268731,9901,1015,1056.677,960.5584299,,
9216593,6768,316,604.961,522.3477216,,
9223338,8216,624,608.179,1026.013723,,
9193103,15252,1989,605.298,3285.984755,,
9244074,10158,1013,578.886,1749.912763,,
9215834,7043,359,592.756,605.6454933,,
9157145,7585,543,606.169,895.789788,,
9191120,4915,17,748.679,22.70666066,,
9176500,5020,29,758.814,38.2175342,,
9131023,5382,78,765.738,101.8625169,,
9127885,5017,48,704.069,68.17513624,,
9139551,5194,89,626.596,142.0372936,,
9113066,5293,47,618.686,75.9674536,,
9095085,7087,358,449.002,797.3238427,,
9089358,10686,1004,1167.066,860.2769681,,
9064685,5595,91,623.846,145.8693331,,
9109898,5347,62,639.777,96.90876665,,
9114810,5304,17,607.122,28.00096192,,
9073622,5232,34,630.705,53.90792843,,
9069698,5136,10,608.478,16.43444792,,
9092280,5923,21,608.268,34.52425576,,
9082150,5993,107,707.78,151.1769194,,
9075999,5532,88,1077.229,81.69107961,,
9041531,6851,333,602.146,553.0220246,,
9025172,7602,452,618.33,731.0012453,,
9057659,5159,55,615.475,89.36187497,,
9001624,5704,46,582.286,78.99897988,,
9025102,5315,22,769.61,28.58590715,,
9002847,5609,48,775.632,61.88501764,,
9001702,4993,14,869.545,16.10037433,,
9015479,5401,69,899.002,76.75177586,,
8974403,9782,928,886.345,1046.996373,,
8965161,8490,653,884.162,738.5524372,,
8979635,5189,32,551.446,58.029254,,
8952592,5789,134,1428.659,93.79425041,,
8943612,5132,28,766.474,36.53091951,,
8933197,5329,18,772.015,23.31560915,,
8979131,5933,54,886.768,60.89529618,,
8928308,5091,28,834.951,33.53490205,,
8927533,5126,24,865.288,27.73642995,,
9018134,5464,64,876.341,73.03093202,,
8910417,9280,797,982.458,811.2306073,,
9018295,9982,982,1403.33,699.7641325,,
9124985,5012,22,849.038,25.91167886,,
9064740,5013,56,845.434,66.2381688,,
9129022,5410,51,887.378,57.4726892,,
9141855,5169,34,892.134,38.11086675,,
9077208,8426,698,867.746,804.3828494,,
9079666,8708,715,864.716,826.8610735,,
9179387,5433,76,765.357,99.3000652,,
9201603,5550,47,766.935,61.28289881,,
9220083,5619,14,549.957,25.45653569,,
9256962,5488,35,1407.312,24.87010698,,
9284095,5057,21,822.174,25.54203855,,
9280828,5289,14,840.727,16.65225454,,
9311133,5646,102,816.011,124.998315,,
9323323,5096,49,813.358,60.24407456,,
9331914,8002,579,793.298,729.8644393,,
9327681,8927,679,776.465,874.4759905,,
9324569,5679,30,915.185,32.78025754,,
9292940,5643,50,1354.683,36.9090038,,
9322816,6922,354,499.646,708.5016191,,
9311441,7127,389,485.506,801.2259375,,
9234777,5476,91,545.216,166.906327,,
9247606,5170,52,564.679,92.08771709,,
9291615,5666,23,592.292,38.83219763,,
9252354,5396,22,598.452,36.76151137,,
9242131,5310,17,316.675,53.68279782,,
9271106,5060,19,775.592,24.49741617,,
9239517,5793,69,440.653,156.5857943,,
9205431,5672,32,401.597,79.68187013,,
9219597,6284,294,433.933,677.5239495,,
9209289,8046,386,461.763,835.926655,,
9202322,6393,40,442.071,90.48320292,,
9138810,6603,34,452.916,75.06910774,,
9189382,7876,342,547.386,624.787627,,
9167255,9334,591,570.36,1036.187671,,
9171913,9074,617,551.991,1117.771848,,
9164213,8144,501,521.165,961.3078392,,
9171230,8256,458,410.256,1116.376116,,
9131431,8290,486,444.203,1094.094367,,
9136359,7499,231,303.734,760.5338882,,
9100629,11181,883,777.626,1135.5073,,
9108106,15103,1644,440.281,3733.978982,,
9109817,11213,858,449.396,1909.229277,,
9105620,9132,355,435.086,815.9306436,,
9109457,9975,463,445.569,1039.120765,,
9093920,8014,22,554.624,39.66651281,,
9071955,7254,45,556.947,80.79763425,,
9045053,7298,26,602.875,43.12668464,,
9052670,2374,15,622.184,24.10862382,,
9046281,2609,114,606.147,188.0731902,,
9017828,2461,55,613.525,89.6458987,,
9035185,3654,322,393.873,817.5223994,,
8976841,6565,866,1010.708,856.8251167,,
9024566,2663,60,526.599,113.9386896,,
9004252,2396,22,531.679,41.37835047,,
8989606,2339,20,609.037,32.83872737,,
8970543,2414,28,607.326,46.10374,,
8945693,2269,13,610.435,21.29628871,,
8954752,2250,29,597.877,48.50496005,,
8954897,4973,532,525.728,1011.930124,,
8951657,5000,571,526.894,1083.709437,,
8922606,2210,1,397.657,2.514730031,,
8960293,2312,12,1018.141,11.78618679,,
8951834,2300,16,376.941,42.4469612,,
8915586,2317,30,363.619,82.50393956,,
8869279,4326,432,435.945,990.9506933,,
8893672,3827,359,447.102,802.9487678,,
8905327,2454,15,445.957,33.63552988,,
8910942,2437,21,448.516,46.82107216,,
8859828,3349,234,444.25,526.7304446,,
8869457,3861,325,450.179,721.9350525,,
8792537,2387,69,443.47,155.5911336,,
8830934,2452,29,417.364,69.48371206,,
8767416,3685,281,472.169,595.1258977,,
8827786,4600,434,453.667,956.6488195,,
