A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9472447,2915,133,2105.615,63.16444364,,
9469358,4083,306,2130.082,143.6564414,,
9508624,3012,143,1916.516,74.61456101,,
9517166,22138,3219,1919.99,1676.571232,,
9513678,15165,1997,1270.951,1571.264352,,
9531596,3378,215,1296.193,165.8703604,,
9542308,3184,146,1446.622,100.9247751,,
9568839,2675,76,1447.153,52.51690733,,
9564389,2532,66,966.995,68.25267969,,
9556835,11849,1559,966.928,1612.322738,,
9540883,2811,116,1151.072,100.7756248,,
9529926,2381,49,1153.727,42.47105251,,
9508552,2301,23,771.897,29.79672158,,
9498865,2818,102,773.38,131.8885929,,
9452025,11097,1419,962.344,1474.524702,,
9502233,2304,36,898.938,40.04725576,,
9495841,3285,129,1109.571,116.2611496,,
9487377,2319,32,1124.039,28.46876309,,
9454896,2267,18,1071.565,16.79786107,,
9441954,2365,39,1103.355,35.3467379,,
9447660,7633,853,1113.597,765.9862589,,
9455164,9022,1125,1090.546,1031.593349,,
9458505,5593,538,751.385,716.0110995,,
9452664,10830,1422,1926.073,738.2897741,,
9436286,2785,92,1095.015,84.01711392,,
9427223,3390,198,1065.548,185.8198786,,
9437391,3269,175,1016.437,172.170041,,
9441646,2840,130,1020.618,127.3738069,,
9412469,2848,38,1030.418,36.87823776,,
9382672,2221,5,1044.975,4.784803464,,
9388486,2835,111,1220.801,90.92390979,,
9374377,2699,87,1615.436,53.85542974,,
9384503,8369,1000,1066.035,938.0555047,,
9403764,6112,618,1062.164,581.8310543,,
9390624,2181,5,1045.439,4.782679812,,
9350556,2654,73,1011.416,72.17603835,,
9401220,2150,8,1027.808,7.783554905,,
9376366,2567,76,1016.504,74.76606093,,
9381603,2207,7,758.719,9.226077112,,
9358618,2322,42,1279.712,32.81988447,,
9347812,2499,67,927.197,72.26080326,,
9372342,2948,141,924.542,152.5079445,,
9366474,8909,1102,975.268,1129.94582,,
9363004,7912,927,965.291,960.3321693,,
9357054,2509,60,979.294,61.26862822,,
9380740,2225,8,990.134,8.079714463,,
9338025,3200,186,1088.356,170.8999629,,
