A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9415691,3329,169,2105.615,80.26158628,,
9448319,3571,200,2130.082,93.89309895,,
9459974,2959,126,1916.516,65.74429851,,
9496218,22607,3247,1919.99,1691.154641,,
9499792,16712,2316,1270.951,1822.257506,,
9508121,3133,145,1296.193,111.866057,,
9524366,2900,100,1446.622,69.12655829,,
9528945,3073,143,1447.153,98.81470722,,
9511886,2899,112,966.995,115.8227292,,
9525613,11304,1536,966.928,1588.536065,,
9516324,2895,136,1151.072,118.1507325,,
9505667,2719,83,1153.727,71.94076242,,
9490266,2517,62,771.897,80.32159731,,
9510613,2586,68,773.38,87.92572862,,
9483675,11046,1391,962.344,1445.429077,,
9479969,2439,44,898.938,48.94664593,,
9466351,2765,94,1109.571,84.71742683,,
9455035,3424,196,1124.039,174.371174,,
9491320,2236,4,1071.565,3.732858016,,
9453676,2555,62,1103.355,56.19225,,
9451147,8029,942,1113.597,845.9074513,,
9450583,6277,632,1090.546,579.526219,,
9453907,5643,562,751.385,747.9521151,,
9443955,12380,1672,1926.073,868.0875543,,
9439672,2747,95,1095.015,86.75680242,,
9428443,2196,3,1065.548,2.815452706,,
9423119,3271,186,1016.437,182.9921579,,
9430716,2787,109,1020.618,106.7980381,,
9406316,2793,100,1030.418,97.04799412,,
9400794,3182,147,1044.975,140.6732218,,
9414052,3254,178,1220.801,145.8059094,,
9396405,3079,132,1615.436,81.7116865,,
9382822,7221,754,1066.035,707.2938506,,
9393942,9904,1230,1062.164,1158.013263,,
9395559,2227,9,1045.439,8.608823662,,
9371188,3012,88,1011.416,87.00673116,,
9361458,2974,142,1027.808,138.1580996,,
9373461,2328,33,1016.504,32.46421067,,
9374949,2090,7,758.719,9.226077112,,
9361109,2624,70,1279.712,54.69980746,,
9375045,2913,61,927.197,65.78968655,,
9351479,2505,6,924.542,6.489699765,,
9342108,9880,1194,975.268,1224.278865,,
9343301,7692,846,965.291,876.4196496,,
9315605,2478,50,979.294,51.05719018,,
9310682,2848,107,990.134,108.0661809,,
9339905,2921,98,1088.356,90.04406646,,
9346537,3214,172,1089.219,157.9113108,,
9311266,5850,504,1105.855,455.7559535,,
9308028,8316,1008,1044.621,964.9432665,,
9324207,9284,1109,1094.771,1012.997239,,
9294113,10648,1415,1092.117,1295.648726,,
9310912,2232,12,764.149,15.70374364,,
9270126,3705,233,1939.501,120.1339932,,
9279950,2662,61,1016.238,60.02530903,,
9282635,2226,13,1023.848,12.69719724,,
9277811,3074,150,1019.623,147.1131977,,
9290710,2434,58,1051.479,55.16039788,,
9250890,2497,50,1043.316,47.92411887,,
9246361,2146,11,1046.767,10.50854679,,
9254313,9692,1239,1228.234,1008.765431,,
9242393,9958,1205,1611.321,747.8336098,,
9228573,2755,110,1047.895,104.9723493,,
9237116,3151,167,1052.164,158.7205036,,
9238759,2254,11,1034.201,10.63623029,,
9199838,2547,62,992.789,62.45032932,,
9299613,2799,78,941.599,82.837811,,
9246264,2977,139,949.983,146.3184078,,
9319115,2243,16,759.448,21.06793355,,
9321924,2848,116,1293.029,89.71183168,,
9241073,7370,816,989.294,824.8306368,,
9262263,5969,508,991.285,512.4661424,,
9342466,2749,89,971.021,91.65610219,,
9330806,2565,47,974.184,48.24550598,,
9311037,7705,837,1019.07,821.3371015,,
9334828,9600,1190,1021.835,1164.57158,,
9382484,11914,1602,1330.437,1204.11564,,
9410659,10130,1268,1360.7,931.8733005,,
9427003,2708,88,1351.011,65.13640526,,
9444465,2821,99,1347.405,73.47456778,,
9470089,2279,24,867.626,27.66168833,,
9473071,2932,130,2112.274,61.54504577,,
9501810,2429,34,1191.533,28.5346692,,
9487241,2372,25,1188.812,21.02939742,,
9504003,2258,20,1198.413,16.68873752,,
9481276,2842,91,1182.485,76.95657873,,
9492020,8143,902,1204.497,748.8603126,,
9464987,6609,683,1184.543,576.5936737,,
9480310,2870,104,1489.473,69.82335363,,
9436066,2669,74,1903.818,38.86926166,,
9449699,2476,63,1152.532,54.66225667,,
9391811,3190,146,1157.93,126.0870692,,
9433304,2978,155,1150.408,134.7348071,,
9432620,2574,78,1163.35,67.04775003,,
9437322,2688,88,1161.071,75.79209196,,
9421929,2851,129,1169.765,110.2785602,,
9434068,6131,616,945.514,651.4974924,,
9420063,10484,1334,1628.443,819.1874078,,
9406161,2511,58,1185.582,48.9211206,,
9410914,2208,3,1198.126,2.503910273,,
9420656,17896,2401,1342.007,1789.111383,,
9394349,2252,4,1336.897,2.992003124,,
9365556,11723,1505,1335.371,1127.02762,,
9374231,8910,1083,1318.226,821.5586705,,
9396262,9398,1060,1191.024,889.990462,,
9371661,11061,1451,1179.676,1229.998745,,
9356088,5761,582,868.406,670.1934349,,
9345043,14238,1932,2122.937,910.0599782,,
9346484,9065,1175,1194.63,983.5681341,,
9345002,11485,1453,1187.02,1224.073731,,
9330888,2282,10,1199.099,8.339594979,,
9324275,13475,1798,1193.192,1506.882379,,
9331338,7866,867,1150.32,753.7033173,,
9326834,6049,594,1164.743,509.9837475,,
9319258,11111,1470,1492.614,984.8493984,,
9306942,14892,2050,1911.826,1072.273314,,
9300770,8713,1001,1163.438,860.3810431,,
9295445,6223,540,1163.792,464.0004399,,
9295456,10744,1311,1158.881,1131.263693,,
