A路计数,B路计数,AB符合计数,归一化功率(μW),归一化后符合计数,,红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：5mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns
9318775,2966,64,2105.615,30.39492025,,
9305902,31785,5795,2130.082,2720.552542,,
9312890,3135,131,1916.516,68.35319924,,
9320251,3409,175,1919.99,91.14630805,,
9322702,2764,37,1270.951,29.11205861,,
9302207,3623,178,1296.193,137.3252286,,
9307589,21740,3696,1446.622,2554.917594,,
9292850,3138,151,1447.153,104.3428027,,
9282900,3087,127,966.995,131.3347018,,
9261684,2775,53,966.928,54.81276786,,
9255953,3218,142,1151.072,123.3632649,,
9261427,17211,2854,1153.727,2473.72212,,
9243248,11636,1841,771.897,2385.033236,,
9223515,2866,37,773.38,47.84194057,,
9213158,2845,39,962.344,40.5260489,,
9234353,3155,127,898.938,141.2778189,,
9242053,8937,1251,1109.571,1127.462776,,
9255748,10771,1606,1124.039,1428.776048,,
9250219,3222,135,1071.565,125.983958,,
9241956,2715,52,1103.355,47.12898387,,
9264259,2507,19,1113.597,17.06182757,,
9264473,3100,114,1090.546,104.5347927,,
9234110,2551,15,751.385,19.96313474,,
9232025,3335,101,1926.073,52.43830322,,
9262859,3023,104,1095.015,94.97586791,,
9235817,2622,44,1065.548,41.29330636,,
9235534,8322,1138,1016.437,1119.597181,,
9186348,10108,1504,1020.618,1473.616965,,
9236196,2991,84,1030.418,81.52031506,,
9224942,2743,24,1044.975,22.96705663,,
9212372,3468,127,1220.801,104.030059,,
9205590,2939,80,1615.436,49.52223425,,
9205829,2920,5,1066.035,4.690277524,,
9201868,2853,67,1062.164,63.07877126,,
9186717,3120,127,1045.439,121.4800672,,
9199610,2750,35,1011.416,34.60494989,,
9188897,7919,1018,1027.808,990.4573617,,
9194358,9683,1396,1016.504,1373.334488,,
9164610,7252,838,758.719,1104.493231,,
9164684,11184,1704,1279.712,1331.549599,,
9157015,2905,98,927.197,105.6949063,,
9199004,3279,55,924.542,59.48891451,,
9170283,2507,6,975.268,6.1521551,,
9170197,2682,25,965.291,25.89892582,,
9180288,3220,154,979.294,157.2561458,,
9173458,2859,86,990.134,86.85693048,,
9176503,8023,1078,1088.356,990.4847311,,
9194284,10999,1721,1089.219,1580.031197,,
9170825,13647,2071,1105.855,1872.759087,,
9174573,8659,1140,1044.621,1091.304885,,
9193143,12511,1960,1094.771,1790.328754,,
9113824,9828,1454,1092.117,1331.359186,,
9165439,7461,959,764.149,1254.990846,,
9164714,18178,3071,1939.501,1583.396967,,
9155333,30371,5510,1016.238,5421.958242,,
9172521,16912,2854,1023.848,2787.523148,,
9135541,7512,954,1019.623,935.6399375,,
9169016,10505,1551,1051.479,1475.065123,,
9170295,7335,924,1043.316,885.6377167,,
9118257,11315,1681,1046.767,1605.897014,,
9142458,11066,1614,1228.234,1314.081844,,
9130941,12582,2026,1611.321,1257.353439,,
9164849,8000,1092,1047.895,1042.089141,,
9154171,10709,1630,1052.164,1549.188149,,
9121207,30057,5454,1034.201,5273.636363,,
9120965,16554,2735,992.789,2754.865334,,
9145590,26694,4866,941.599,5167.804979,,
9131312,15512,2511,949.983,2643.205194,,
9112204,7262,909,759.448,1196.921975,,
9118990,10892,1632,1293.029,1262.152666,,
9095713,10704,1576,989.294,1593.05525,,
9108444,9606,1367,991.285,1379.018143,,
9101974,6845,809,971.021,833.1436704,,
9101589,10258,1465,974.184,1503.822686,,
9109956,2660,19,1019.07,18.64445033,,
9089790,3251,139,1021.835,136.0297895,,
9074822,2557,6,1330.437,4.509796405,,
9092162,3027,99,1360.7,72.75666936,,
9148406,3495,192,1351.011,142.1157933,,
9182587,2988,96,1347.405,71.24806573,,
9222334,7161,961,867.626,1107.620104,,
9244662,14330,2366,2112.274,1120.119833,,
9254671,3346,183,1191.533,153.5836607,,
9233478,3058,103,1188.812,86.64111735,,
9242359,3609,199,1198.413,166.0529383,,
9257154,2930,86,1182.485,72.72819528,,
9244611,2495,12,1204.497,9.962664913,,
9263160,2919,99,1184.543,83.57653542,,
9245455,3567,210,1489.473,140.9894641,,
9261743,3126,113,1903.818,59.35441308,,
9255800,7387,934,1152.532,810.3896464,,
9276606,9671,1388,1157.93,1198.690767,,
9304575,7429,944,1150.408,820.5784383,,
9301866,9391,1392,1163.35,1196.544462,,
9283195,3755,191,1161.071,164.5032905,,
9292669,3205,151,1169.765,129.0857565,,
9290655,2662,43,945.514,45.47790937,,
9289559,2810,38,1628.443,23.33517354,,
9269156,3624,188,1185.582,158.5719081,,
9262254,3212,108,1198.126,90.14076984,,
9266207,2915,64,1342.007,47.68976615,,
9247683,2731,37,1336.897,27.67602889,,
9227723,2710,27,1335.371,20.21910016,,
9202801,2761,64,1318.226,48.55009687,,
9212699,12161,1808,1191.024,1518.021467,,
9185086,11593,1741,1179.676,1475.828956,,
9145897,2516,6,868.406,6.909210669,,
9216784,2896,85,2122.937,40.03887068,,
9187709,2657,10,1194.63,8.37079263,,
9226571,2848,77,1187.02,64.86832572,,
9222050,3089,119,1199.099,99.24118025,,
9212112,2931,71,1193.192,59.50425414,,
9218527,2604,11,1150.32,9.562556506,,
9213922,2843,84,1164.743,72.11891379,,
9209873,12188,1874,1492.614,1255.515492,,
9226938,17815,2825,1911.826,1477.644932,,
9223101,12623,1860,1163.438,1598.71003,,
9225784,11489,1689,1163.792,1451.290265,,
9218725,2628,32,1158.881,27.61284377,,
9223542,2607,18,1154.833,15.58666924,,
9175874,3081,123,1195.936,102.848313,,
9166035,3108,117,1206.045,97.01130555,,
9190462,2822,12,951.93,12.60596893,,
9176807,3064,113,1633.576,69.17339628,,
9208452,2694,8,662.104,12.08269396,,
9190657,2828,66,660.524,99.92066904,,
9207931,8921,1277,735.379,1736.519536,,
9164428,7614,966,745.967,1294.96345,,
9175944,2620,8,733.413,10.90790591,,
9137829,2980,90,738.839,121.8127359,,
9110798,2644,30,441.081,68.01471839,,
9129420,3292,137,1132.888,120.9298713,,
9160006,2740,48,603.671,79.51350984,,
9164150,2624,22,586.501,37.51059248,,
9110553,2599,17,584.283,29.09548969,,
9145370,2920,81,608.327,133.1520712,,
9159761,7621,979,613.556,1595.616374,,
9164990,6540,805,606.69,1326.872043,,
9137606,6794,854,697.724,1223.979683,,
9156609,9506,1376,1056.677,1302.195467,,
9192891,2932,10,604.961,16.52999119,,
9157324,2661,16,608.179,26.30804418,,
9178133,2716,31,605.298,51.21444313,,
9164361,2824,48,578.886,82.9178802,,
9153460,2738,23,592.756,38.8018004,,
9158762,2861,73,606.169,120.4284614,,
9109284,5837,615,748.679,821.4468417,,
9138052,6631,827,758.814,1089.858648,,
9142908,3436,193,765.738,252.044433,,
9114905,2995,85,704.069,120.7268038,,
9144391,3350,103,626.596,164.3802386,,
9084787,2780,59,618.686,95.3633992,,
9112137,2532,10,449.002,22.27161572,,
9092634,2803,57,1167.066,48.84042548,,
9125872,3061,101,623.846,161.8989302,,
9105195,2699,60,639.777,93.7826774,,
9117266,5436,550,607.122,905.9134737,,
9109831,6061,710,630.705,1125.724388,,
9111009,5192,546,608.478,897.3208563,,
9126361,5903,644,608.268,1058.743843,,
9116642,2821,68,707.78,96.07505157,,
9128103,3160,144,1077.229,133.6763121,,
9101002,2572,18,602.146,29.89308241,,
9083830,2586,16,618.33,25.87615028,,
9092691,3217,108,615.475,175.4742272,,
9103120,2832,77,582.286,132.2374228,,
9132978,5580,597,769.61,775.7175712,,
9162469,8050,1061,775.632,1367.916744,,
9186365,6393,748,869.545,860.2200001,,
9227050,9896,1453,899.002,1616.236671,,
9249407,9094,1366,886.345,1541.160609,,
9253954,7537,1040,884.162,1176.25503,,
9261911,5735,607,551.446,1100.742412,,
9246304,13236,2103,1428.659,1472.009766,,
9269472,21526,3793,766.474,4948.634918,,
9291333,11958,1874,772.015,2427.413975,,
9283149,23512,3978,886.768,4485.953485,,
9289598,13176,2055,834.951,2461.222275,,
9260511,6575,814,865.288,940.7272492,,
9308405,6867,890,876.341,1015.586398,,
