归一化功率(μW),bell态1,AB符合计数,归一化后符合计数,bell态2,AB符合计数,归一化后符合计数,bell态3,AB符合计数,归一化后符合计数,bell态4,AB符合计数,归一化后符合计数
1764.073,,4190,237.5185154,,4320,244.8878249,,109,6.17888262,,205,11.62083429
1783.983,,196,10.98665178,,163,9.136858367,,4370,244.9574912,,3950,221.4146659
1020.795,,133,13.02906068,,186,18.22109238,,2460,240.9886412,,2420,237.0701267
1021.503,,2540,248.65321,,2410,235.9268646,,160,15.66319433,,149,14.58634972
932.683,,747,80.09152091,,1620,173.692455,,783,83.95135325,,1550,166.1872255
949.12,,1320,139.0761969,,1130,119.0576534,,1070,112.7360081,,1240,130.6473365
629.79,,674,107.0198003,,683,108.448848,,648,102.89144,,618,98.12794741
1623.001,,2360,145.4096455,,2420,149.1065009,,1680,103.511951,,1670,102.8958084
920.406,,4470,485.6552434,,3,0.325943116,,197,21.40359798,,0,0
903.217,,2240,248.002418,,2070,229.1808059,,90,9.964382867,,100,11.07153652
922.596,,189,20.48567304,,1,0.108389804,,4470,484.5024258,,3,0.325169413
915.34,,124,13.54687876,,95,10.37865711,,2410,263.2901436,,2020,220.6830249
643.569,,679,105.5053926,,603,93.69624702,,651,101.1546547,,674,104.7284751
1655.985,,1760,106.2811559,,1520,91.78827103,,2390,144.3249788,,2240,135.2669257
546.246,,448,82.01433054,,945,172.9989785,,374,68.46732058,,955,174.8296555
538.902,,624,115.7909972,,827,153.4601839,,790,146.5943715,,599,111.1519349
,,,,,,,,,,,,
红光波长：794.97000nm  PPKTP温度：40.86℃  紫光功率：1mW  计数时间：10s  符合窗口：1ns  AB路延时：64.8ns ,,,,,,,,,,,,
只加光栅时，A路计数1.87×105/s，B路计数3.16×104/s，符合计数6.92×103/s,,,,,,,,,,,,
